student_id,gender,ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
234,female,group D,master's degree,free/reduced,completed,75,28,88
235,female,group E,some college,free/reduced,none,30,50,7
236,male,group D,some high school,free/reduced,completed,45,57,4
237,male,group A,master's degree,standard,none,9,65,5
238,male,group A,master's degree,standard,none,77,12,76
239,female,group E,associate's degree,free/reduced,none,0,92,85
240,female,group C,high school,free/reduced,none,7,64,48
241,female,group E,bachelor's degree,standard,completed,56,0,12
242,male,group A,associate's degree,standard,completed,51,29,45
243,female,group C,high school,standard,none,43,19,46
244,male,group E,high school,standard,completed,26,13,87
245,male,group E,master's degree,free/reduced,none,13,75,9
246,female,group B,some college,standard,none,98,63,46
247,female,group E,master's degree,free/reduced,completed,91,53,33
248,female,group E,some college,free/reduced,completed,88,16,75
249,female,group D,bachelor's degree,standard,none,67,55,64
250,male,group D,high school,free/reduced,none,31,97,76
251,male,group C,high school,standard,completed,13,35,3
252,male,group E,some high school,free/reduced,none,32,27,73
253,male,group B,high school,standard,completed,92,11,32
254,male,group C,associate's degree,standard,completed,54,49,58
255,female,group B,master's degree,free/reduced,none,71,87,26
256,male,group E,bachelor's degree,standard,completed,55,68,14
257,female,group D,some high school,free/reduced,completed,74,58,35
258,female,group A,some college,free/reduced,none,18,69,42
259,male,group E,some college,free/reduced,completed,57,7,36
260,male,group C,some college,standard,completed,26,40,44
261,male,group A,master's degree,free/reduced,completed,48,7,10
262,female,group E,associate's degree,standard,completed,96,61,38
263,female,group A,high school,standard,completed,81,15,8
264,male,group A,bachelor's degree,free/reduced,completed,72,0,80
265,female,group C,some college,standard,none,5,25,37
266,female,group B,master's degree,free/reduced,completed,34,39,97
267,male,group C,bachelor's degree,free/reduced,completed,41,57,52
268,female,group C,associate's degree,free/reduced,completed,13,1,42
269,male,group A,some college,free/reduced,completed,11,58,58
270,female,group A,high school,free/reduced,none,34,15,65
271,female,group D,some high school,free/reduced,completed,42,16,10
272,female,group B,associate's degree,standard,completed,12,64,2
273,male,group B,some high school,standard,completed,59,37,95
274,male,group C,bachelor's degree,standard,completed,46,20,31
275,female,group A,some college,standard,none,12,38,73
276,male,group B,bachelor's degree,free/reduced,none,73,76,96
277,male,group D,some high school,free/reduced,completed,97,19,84
278,female,group A,master's degree,free/reduced,none,28,96,88
279,female,group B,master's degree,free/reduced,completed,52,42,26
280,female,group C,master's degree,standard,none,50,39,27
281,male,group E,associate's degree,free/reduced,none,82,31,33
282,male,group D,high school,free/reduced,completed,72,51,80
283,female,group C,bachelor's degree,standard,none,17,99,75
284,male,group D,bachelor's degree,standard,none,77,73,72
285,female,group A,bachelor's degree,free/reduced,completed,41,93,9
286,female,group C,some high school,free/reduced,completed,19,30,26
287,female,group B,master's degree,standard,none,78,92,61
288,male,group E,master's degree,free/reduced,none,94,63,15
289,male,group B,master's degree,standard,none,91,71,24
290,male,group D,associate's degree,standard,none,86,78,60
291,male,group A,bachelor's degree,standard,completed,97,47,53
292,male,group A,some college,free/reduced,none,11,13,75
293,female,group D,bachelor's degree,free/reduced,none,92,27,71
294,male,group C,master's degree,free/reduced,none,52,79,32
295,male,group B,bachelor's degree,free/reduced,none,75,78,83
296,female,group D,high school,standard,completed,62,99,15
297,male,group A,associate's degree,free/reduced,completed,56,6,47
298,female,group E,some high school,standard,completed,41,23,39
299,female,group C,bachelor's degree,standard,none,57,28,1
300,female,group C,some high school,standard,none,3,87,47
301,male,group B,associate's degree,standard,completed,80,94,15
302,female,group D,associate's degree,free/reduced,none,48,53,11
303,male,group E,high school,free/reduced,none,87,79,98
304,male,group B,some college,free/reduced,none,23,26,64
305,male,group E,bachelor's degree,free/reduced,completed,38,75,35
306,male,group B,associate's degree,standard,none,55,86,25
307,male,group E,high school,standard,completed,98,1,61
308,female,group D,high school,free/reduced,none,96,29,56
309,male,group C,some college,free/reduced,completed,67,16,57
310,female,group D,master's degree,standard,none,18,56,75
311,male,group D,bachelor's degree,free/reduced,completed,79,43,25
312,male,group E,master's degree,standard,none,13,23,50
313,male,group B,high school,free/reduced,completed,45,1,11
314,male,group A,master's degree,free/reduced,completed,57,48,98
315,male,group C,some college,free/reduced,completed,85,73,75
316,male,group B,associate's degree,free/reduced,none,4,64,69
317,male,group B,bachelor's degree,free/reduced,completed,65,23,95
318,female,group B,master's degree,standard,none,24,59,94
319,male,group B,master's degree,free/reduced,completed,24,33,70
320,male,group B,some high school,standard,completed,46,64,53
321,female,group E,master's degree,standard,completed,50,76,2
322,male,group C,some college,standard,completed,38,37,10
323,male,group E,associate's degree,standard,completed,2,2,49
324,female,group A,associate's degree,standard,none,54,46,58
325,female,group B,some high school,free/reduced,none,31,37,94
326,female,group D,associate's degree,standard,none,42,45,16
327,male,group A,some college,free/reduced,none,13,76,87
328,male,group A,associate's degree,free/reduced,completed,70,55,91
329,female,group E,master's degree,standard,none,97,81,62
330,male,group C,associate's degree,free/reduced,none,74,29,81
331,female,group D,master's degree,standard,none,72,95,21
332,female,group B,master's degree,standard,none,98,55,85
333,female,group C,bachelor's degree,standard,none,63,96,96
334,male,group B,some high school,free/reduced,completed,98,41,71
335,female,group D,some high school,free/reduced,completed,97,59,99
336,male,group B,high school,standard,completed,64,90,17
337,male,group D,some college,free/reduced,none,98,40,67
338,male,group A,master's degree,standard,completed,64,16,96
339,female,group D,some high school,free/reduced,none,88,92,5
340,male,group A,associate's degree,standard,none,85,36,12
341,male,group C,associate's degree,free/reduced,none,59,98,54
342,female,group B,bachelor's degree,standard,none,14,91,43
343,male,group A,master's degree,standard,completed,0,47,65
344,female,group E,bachelor's degree,standard,none,73,37,71
345,female,group D,associate's degree,free/reduced,completed,21,36,60
346,male,group E,some college,standard,completed,91,75,11
347,male,group E,bachelor's degree,standard,none,44,42,22
348,male,group D,some high school,free/reduced,none,30,10,98
349,female,group E,associate's degree,standard,completed,6,35,85
350,female,group B,some high school,standard,none,94,21,97
351,male,group E,associate's degree,standard,none,70,20,67
352,male,group E,some high school,free/reduced,none,51,55,82
353,male,group B,bachelor's degree,standard,completed,24,0,95
354,female,group B,bachelor's degree,standard,none,12,43,19
355,female,group D,some high school,free/reduced,completed,8,75,5
356,male,group B,bachelor's degree,free/reduced,completed,7,23,74
357,female,group B,some high school,standard,none,22,31,46
358,male,group D,some high school,free/reduced,completed,94,69,69
359,female,group C,high school,free/reduced,none,95,99,54
360,male,group D,some high school,standard,completed,10,49,75
361,male,group E,master's degree,free/reduced,none,100,32,64
362,female,group A,high school,standard,completed,57,39,85
363,female,group C,bachelor's degree,standard,completed,33,88,53
364,female,group C,associate's degree,standard,completed,15,73,76
365,male,group E,some high school,free/reduced,none,11,41,85
366,female,group E,bachelor's degree,free/reduced,none,46,43,13
367,male,group D,high school,standard,none,1,83,86
368,male,group C,some high school,standard,completed,75,92,78
369,male,group E,associate's degree,free/reduced,completed,84,85,60
370,male,group C,some college,standard,completed,49,42,22
371,female,group A,associate's degree,standard,none,26,47,36
372,female,group B,some high school,free/reduced,completed,42,2,38
373,female,group B,master's degree,free/reduced,completed,33,11,28
374,female,group D,associate's degree,free/reduced,completed,17,68,0
375,female,group E,associate's degree,standard,completed,77,63,26
376,female,group B,some high school,standard,completed,78,99,3
377,male,group B,master's degree,standard,none,63,13,21
378,female,group C,some high school,free/reduced,completed,90,90,30
379,male,group C,associate's degree,free/reduced,none,14,71,75
380,male,group B,high school,free/reduced,completed,15,72,37
381,male,group B,master's degree,free/reduced,completed,10,72,100
382,male,group C,bachelor's degree,free/reduced,completed,89,99,26
383,male,group B,high school,free/reduced,none,56,37,33
384,female,group E,bachelor's degree,standard,completed,12,84,76
385,male,group D,some college,free/reduced,completed,97,10,14
386,female,group C,master's degree,standard,none,28,97,20
387,female,group A,bachelor's degree,free/reduced,none,49,12,32
388,male,group B,some high school,standard,completed,49,34,5
389,female,group E,some high school,standard,completed,78,63,32
390,female,group E,master's degree,standard,none,32,92,46
391,female,group B,associate's degree,free/reduced,completed,69,42,19
392,male,group C,some college,free/reduced,none,55,80,12
393,male,group A,high school,standard,none,97,29,31
394,female,group A,high school,free/reduced,none,43,19,55
395,male,group A,high school,free/reduced,completed,51,75,2
396,male,group C,associate's degree,free/reduced,none,1,32,75
397,female,group A,master's degree,standard,none,96,62,95
398,female,group E,some college,standard,completed,81,24,26
399,male,group E,some high school,standard,none,53,96,63
400,female,group A,master's degree,standard,none,67,7,4
401,female,group D,bachelor's degree,standard,none,26,29,33
402,male,group A,associate's degree,free/reduced,none,8,94,48
403,male,group E,associate's degree,standard,none,54,13,77
404,male,group D,bachelor's degree,standard,none,87,30,80
405,male,group D,some college,standard,completed,53,50,80
406,female,group C,associate's degree,standard,completed,23,15,100
407,female,group B,associate's degree,free/reduced,none,49,26,65
408,male,group D,high school,standard,none,8,24,29
409,female,group E,some high school,free/reduced,none,70,47,33
410,male,group B,high school,free/reduced,completed,17,59,70
411,male,group A,some college,free/reduced,completed,100,47,33
412,male,group E,bachelor's degree,standard,none,71,62,61
413,female,group C,some high school,free/reduced,completed,99,94,24
414,female,group A,some high school,standard,none,82,12,27
415,male,group B,some high school,free/reduced,none,73,75,2
416,female,group D,some high school,free/reduced,none,87,68,51
417,female,group D,some high school,free/reduced,none,49,17,83
418,male,group C,some college,free/reduced,completed,74,99,89
419,female,group E,some high school,standard,completed,38,63,8
420,female,group B,some college,standard,none,41,21,70
421,male,group E,associate's degree,free/reduced,none,85,94,41
422,female,group A,high school,standard,none,58,14,24
423,female,group E,some high school,free/reduced,none,37,4,13
424,male,group D,some high school,standard,completed,43,76,10
425,female,group C,bachelor's degree,standard,none,62,65,5
426,female,group A,bachelor's degree,standard,none,6,67,19
427,male,group B,associate's degree,standard,completed,11,66,25
428,female,group D,some high school,standard,none,95,3,19
429,female,group D,some college,standard,none,100,97,81
430,female,group E,master's degree,standard,none,87,52,61
431,male,group A,some high school,free/reduced,none,20,13,9
432,female,group C,some high school,standard,none,28,82,93
433,male,group A,some high school,free/reduced,completed,23,76,39
434,male,group E,master's degree,free/reduced,none,22,87,44
435,female,group B,master's degree,free/reduced,completed,26,74,89
436,female,group D,high school,free/reduced,none,55,89,2
437,female,group E,bachelor's degree,standard,none,19,0,38
438,male,group B,some high school,standard,completed,79,46,91
439,male,group D,high school,free/reduced,completed,46,29,49
440,female,group E,bachelor's degree,free/reduced,completed,97,92,75
441,female,group C,high school,free/reduced,completed,20,15,5
442,male,group C,bachelor's degree,standard,completed,64,65,21
443,female,group D,high school,standard,completed,56,54,31
444,male,group B,bachelor's degree,standard,completed,21,48,4
445,female,group D,bachelor's degree,free/reduced,completed,25,60,78
446,male,group A,some college,free/reduced,none,87,70,51
447,female,group E,high school,free/reduced,completed,43,59,85
448,female,group E,some college,standard,completed,56,61,35
449,female,group D,master's degree,standard,completed,9,57,11
450,male,group B,master's degree,free/reduced,completed,30,45,81
451,female,group A,associate's degree,standard,none,15,73,54
452,male,group E,master's degree,standard,completed,100,87,83
453,male,group A,high school,free/reduced,completed,6,81,19
454,male,group E,some college,free/reduced,completed,41,69,82
455,female,group E,high school,free/reduced,completed,44,52,76
456,female,group C,master's degree,free/reduced,none,82,89,56
457,female,group B,associate's degree,free/reduced,none,63,81,24
458,female,group B,associate's degree,standard,completed,80,91,30
459,female,group D,some college,free/reduced,completed,48,12,25
460,female,group E,high school,free/reduced,none,3,49,41
461,female,group A,master's degree,standard,completed,86,33,72
462,male,group D,some college,free/reduced,completed,2,65,70
463,female,group B,master's degree,standard,completed,29,3,45
464,female,group A,associate's degree,free/reduced,completed,20,99,16
465,male,group A,master's degree,standard,none,25,34,91
466,male,group E,bachelor's degree,standard,none,97,70,28
467,male,group A,bachelor's degree,free/reduced,completed,99,37,32
468,female,group B,some college,free/reduced,none,97,18,50
469,female,group E,some college,free/reduced,none,29,83,77
470,male,group D,bachelor's degree,standard,none,93,12,58
471,male,group B,high school,standard,completed,24,12,63
472,female,group B,master's degree,free/reduced,none,85,46,39
473,female,group C,some college,standard,none,21,85,4
474,female,group E,some high school,standard,none,49,38,96
475,male,group A,master's degree,standard,none,29,51,19
476,female,group E,master's degree,standard,none,92,91,46
477,male,group D,some high school,free/reduced,none,96,77,87
478,male,group A,high school,standard,none,89,5,94
479,female,group D,some college,free/reduced,none,41,68,25
480,male,group C,bachelor's degree,standard,none,63,47,60
481,male,group A,associate's degree,standard,none,18,38,46
482,male,group C,bachelor's degree,standard,completed,26,58,35
483,female,group C,bachelor's degree,standard,none,80,19,22
484,female,group C,master's degree,standard,none,28,37,72
485,male,group A,some college,free/reduced,none,94,21,61
486,male,group E,some high school,free/reduced,completed,75,14,60
487,female,group C,high school,standard,completed,36,5,71
488,male,group C,high school,free/reduced,completed,78,38,46
489,male,group A,high school,standard,none,22,28,9
490,female,group D,master's degree,standard,none,17,49,100
491,male,group A,master's degree,free/reduced,completed,1,54,19
492,female,group A,some high school,free/reduced,completed,67,94,85
493,female,group D,some college,standard,completed,65,44,48
494,female,group A,some college,standard,completed,53,95,98
495,female,group A,master's degree,standard,none,96,26,3
496,male,group A,some college,free/reduced,none,52,84,59
497,male,group A,some high school,standard,none,25,46,19
498,female,group A,master's degree,standard,none,96,18,50
499,male,group C,bachelor's degree,standard,completed,60,52,47
500,female,group E,associate's degree,free/reduced,completed,71,85,25
501,female,group E,high school,free/reduced,completed,72,61,66
502,male,group D,master's degree,free/reduced,completed,81,13,33
503,male,group A,some high school,standard,none,82,27,86
504,female,group C,some high school,standard,none,35,83,8
505,male,group B,some high school,free/reduced,completed,5,62,11
506,male,group B,master's degree,standard,completed,15,88,38
507,female,group B,some high school,standard,completed,59,42,85
508,female,group C,bachelor's degree,free/reduced,none,73,42,59
509,female,group B,high school,standard,none,67,48,60
510,female,group A,master's degree,free/reduced,completed,46,16,51
511,female,group B,some college,free/reduced,none,11,80,68
512,female,group D,associate's degree,standard,none,55,82,12
513,female,group A,some high school,free/reduced,none,63,74,38
514,male,group B,some high school,free/reduced,completed,66,8,24
515,male,group C,some college,free/reduced,completed,4,79,35
516,female,group B,bachelor's degree,standard,completed,60,75,24
517,male,group D,high school,standard,completed,79,99,33
518,female,group E,master's degree,standard,none,87,86,30
519,female,group D,high school,free/reduced,completed,60,34,78
520,male,group D,some college,free/reduced,none,38,58,41
521,male,group A,bachelor's degree,free/reduced,none,46,76,0
522,female,group B,bachelor's degree,free/reduced,none,11,16,36
523,female,group A,some college,free/reduced,completed,26,62,48
524,female,group C,some college,free/reduced,completed,100,58,47
525,female,group D,some high school,standard,completed,33,99,13
526,male,group B,associate's degree,standard,none,30,38,34
527,female,group E,master's degree,standard,none,91,92,31
528,male,group E,associate's degree,standard,none,8,32,39
529,male,group E,some high school,standard,completed,67,31,8
530,female,group E,high school,standard,none,51,67,42
531,male,group D,bachelor's degree,free/reduced,none,54,19,8
532,female,group D,bachelor's degree,free/reduced,completed,69,49,2
533,male,group A,master's degree,standard,completed,29,13,99
534,female,group E,some college,standard,completed,51,5,12
535,male,group A,associate's degree,standard,completed,64,56,43
536,male,group D,bachelor's degree,free/reduced,completed,62,59,75
537,male,group C,master's degree,free/reduced,completed,86,19,1
538,male,group D,some college,free/reduced,none,74,86,21
539,male,group B,some college,standard,completed,87,1,88
540,male,group C,master's degree,standard,completed,55,97,29
541,male,group A,high school,free/reduced,none,61,83,75
542,male,group E,some high school,standard,none,58,79,28
543,male,group D,associate's degree,standard,none,94,35,41
544,female,group B,some high school,standard,none,55,19,18
545,male,group E,some high school,standard,none,39,26,50
546,male,group B,some college,standard,none,47,71,6
547,male,group B,some high school,free/reduced,none,84,87,95
548,female,group C,some high school,standard,none,59,42,11
549,female,group C,bachelor's degree,free/reduced,none,98,50,75
550,female,group A,some college,free/reduced,completed,52,8,92
551,male,group B,master's degree,free/reduced,completed,69,61,63
552,male,group E,high school,free/reduced,none,41,10,55
553,male,group B,some high school,standard,completed,65,96,40
554,male,group C,high school,free/reduced,completed,34,67,91
555,male,group C,bachelor's degree,free/reduced,completed,0,8,9
556,male,group A,high school,free/reduced,none,91,67,6
557,female,group E,bachelor's degree,free/reduced,completed,31,43,51
558,female,group C,bachelor's degree,standard,none,17,8,62
